Date,Market_State,pred_z,regime_weight,pred_z_weighted,raw_signal,signal,hold_day,position,y_next_log_return,strategy_ret,equity
2024-10-09,bull_risk_off,1.2274057212252247,0.0,0.0,0,0,0,1.736881338553066e-51,0.0055868578817098,2.295661198580986e-53,1.0067869689954128
2024-10-10,bull_risk_off,1.0961245491026634,0.0,0.0,0,0,0,6.947525354212263e-52,0.0140201601679055,2.383029015759416e-53,1.0067869689954128
2024-10-11,bull_risk_off,1.0397703649277865,0.0,0.0,0,0,0,2.7790101416849057e-52,0.0,-2.084257606263679e-55,1.0067869689954128
2024-10-12,bull_risk_off,1.209446286558221,0.0,0.0,0,0,0,1.1116040566739623e-52,0.0,-8.337030425054717e-56,1.0067869689954128
2024-10-13,bull_risk_off,1.2020732130882048,0.0,0.0,0,0,0,4.446416226695849e-53,-0.0036943717249202,-4.440159813285066e-55,1.0067869689954128
2024-10-14,bull_risk_off,1.3217294944216604,0.0,0.0,0,0,0,1.7785664906783396e-53,0.0051231382774307,2.144568030036573e-55,1.0067869689954128
2024-10-15,bull_risk_off,1.0360837272954186,0.0,0.0,0,0,0,7.114265962713359e-54,0.0047232153749718,7.866982646978071e-56,1.0067869689954128
2024-10-16,bull_risk_off,1.0363151079135278,0.0,0.0,0,0,0,2.8457063850853437e-54,0.0063373930650174,4.295161998597497e-56,1.0067869689954128
2024-10-17,bull_risk_off,0.4957212591873189,0.0,0.0,0,0,0,1.1382825540341375e-54,0.0084001275502475,2.3050584689745015e-56,1.0067869689954128
2024-10-18,bull_risk_off,0.9980584462550638,0.0,0.0,0,0,0,4.55313021613655e-55,0.0,-3.414847662102412e-58,1.0067869689954128
2024-10-19,bull_risk_off,1.1686298338322847,0.0,0.0,0,0,0,1.8212520864546203e-55,0.0,-1.3659390648409649e-58,1.0067869689954128
2024-10-20,bull_risk_off,1.1613270126205777,0.0,0.0,0,0,0,7.285008345818482e-56,0.0034579739119326,5.7514665760765074e-58,1.0067869689954128
2024-10-21,bull_risk_off,-1.556224595854421,0.0,-0.0,0,0,0,2.914003338327393e-56,0.0077186024421471,5.4044580705351e-58,1.0067869689954128
2024-10-22,bull_risk_off,0.7903732605021236,0.0,0.0,0,0,0,1.165601335330957e-56,-0.0109186772649565,-3.269126300170086e-58,1.0067869689954128
